Location,City,School Name,School Link,School Location,Private Candidates Accepted
Indonesia,Aceh,Fatih Bilingual School,https://fatih.sch.id/,"Aceh, Indonesia",Yes
Indonesia,Aceh,Sekolah Sukma Bangsa Pidie,https://pidie.sukmabangsa.sch.id/,"Aceh, Indonesia",Yes
Indonesia,Aceh,SPK SMP- SMA Teuku Nyak Arif Fatih Bilingual School,http://www.tnafatih.sch.id,"Aceh, Indonesia",Yes
Indonesia,Bali,Tidak Tersedia,Tidak Tersedia,"Bali, Indonesia",No
Indonesia,Bali,Asian Intercultural School Bali,http://www.aisb.sch.id,"Bali, Indonesia",Yes
Indonesia,Bali,Bukit Sunrise School (BSS),http://www.bukitsunriseschool.com,"Bali, Indonesia",No
Indonesia,Bali,Canggu Community School,http://www.ccsbali.com,"Bali, Indonesia",No
Indonesia,Bali,Cendekia Harapan,http://www.balichildrenshouse.com,"Bali, Indonesia",Yes
Indonesia,Bali,Dyatmika School,http://www.dyatmika.org,"Bali, Indonesia",No
Indonesia,Bali,ProEd Global School,https://www.proedschool.com/,"Bali, Indonesia",Yes
Indonesia,Bali,Regents Primary School,http://www.regentschoolbali.com,"Bali, Indonesia",No
Indonesia,Bali,Regents Secondary School Bali,http://www.regentsschoolbali.com,"Bali, Indonesia",No
Indonesia,Bali,Santosa Intercultural School,http://www.doremischool.sch.id,"Bali, Indonesia",Yes
Indonesia,Bali,Sanur Independent School,http://www.sisbali.sch.id,"Bali, Indonesia",Yes
Indonesia,Bali,Sekolah Lentera Kasih,http://www.slkbali-lollypop.com,"Bali, Indonesia",No
Indonesia,Bali,Sekolah Stella Mundi,http://www.stellamundi.net/,"Bali, Indonesia",No
Indonesia,Bali,SPK SD CHIS DENPASAR,http://www.sekolahchis.com,"Bali, Indonesia",No
Indonesia,Bali,Taman Rama Intercultural School,http://www.ourbalischools.com,"Bali, Indonesia",Yes
Indonesia,Bali,The Gandhi Memorial Intercontinental School,http://www.gandhibali.org,"Bali, Indonesia",No
Indonesia,Bali,Tunjung Sari School,http://www.tunjungsarischool.com/,"Bali, Indonesia",Yes
Indonesia,Balikpapan,Bina Bangsa School - Balikpapan,http://www.binabangsaschool.com,"Balikpapan, Indonesia",No
Indonesia,Balikpapan,Harapan Bangsa,https://www.hbics.sch.id/,"Balikpapan, Indonesia",Yes
Indonesia,Balikpapan,Raffles Independent School,http://www.raffles.sch.id,"Balikpapan, Indonesia",Yes
Indonesia,Bandar Lampung,Pelita Bangsa School,http://www.pelitabangsa.info,"Bandar Lampung, Indonesia",No
Indonesia,Bandar Lampung,Stella Gracia School Lampung,http://www.stellagracia.com,"Bandar Lampung, Indonesia",No
Indonesia,Bandung,Al-Irsyad Satya Islamic School,http://www.alirsyadsatya.sch.id,"Bandung, Indonesia",Yes
Indonesia,Bandung,Bina Bangsa School - Bandung,http://www.binabangsaschool.com,"Bandung, Indonesia",Yes
Indonesia,Bandung,BPK Penabur Bandung,http://www.dcp.penabur.sch.id,"Bandung, Indonesia",No
Indonesia,Bandung,Darul Hikam Integrated School,http://www.primarydhis.sch.id,"Bandung, Indonesia",Yes
Indonesia,Bandung,Global Prestasi School Bandung,http://www.globalprestasi.sch.id,"Bandung, Indonesia",No
Indonesia,Bandung,Nehru Memorial School,http://nehrumemorialinternationalschool.blogspot.com,"Bandung, Indonesia",Yes
Indonesia,Bandung,NURUL FIKRI BOARDING SCHOOL LEMBANG,http://www.nfbslembang.sch.id,"Bandung, Indonesia",Yes
Indonesia,Bandung,Sekolah Bina Persada,http://www.sekolahbinapersada.com/,"Bandung, Indonesia",Yes
Indonesia,Bandung,Sekolah BPK PENABUR Banda,http://www.pissecondary.sch.id,"Bandung, Indonesia",No
Indonesia,Bandung,Sekolah Mutiara Nusantara,http://www.smc.sch.id,"Bandung, Indonesia",No
Indonesia,Bandung,SPK PRIBADI Bandung,http://www.pribadibandung.sch.id/,"Bandung, Indonesia",Yes
Indonesia,Bandung,Temasek Independent School,http://www.temasekintl.org/,"Bandung, Indonesia",No
Indonesia,Batam,Madrasah Aliyah Negeri (MAN) 1 Kota Batam,http://manbatam.sch.id,"Batam, Indonesia",Yes
Indonesia,Batam,MTsN 1 Batam,http://www.mtsn1batam.sch.id,"Batam, Indonesia",Yes
Indonesia,Batam,Sekolah Djuwita,http://www.sekolahdjuwita.sch.id,"Batam, Indonesia",Yes
Indonesia,Batam,Sekolah Global Indo-Asia,http://www.sgiaedu.org/,"Batam, Indonesia",No
Indonesia,Batam,Sekolah Kallista,http://www.kallista-btm.sch.id,"Batam, Indonesia",Yes
Indonesia,Batu,Al Izzah International Islamic Boarding School,https://alizzah-batu.sch.id/,"Batu, Indonesia",No
Indonesia,Bekasi,Binus School Bekasi,http://www.binus.bekasi.sch.id,"Bekasi, Indonesia",Yes
Indonesia,Bekasi,Global Prestasi School,http://www.globalprestasi.sch.id,"Bekasi, Indonesia",No
Indonesia,Bekasi,John Paul's School,http://www.johnpaulschool.sch.id,"Bekasi, Indonesia",Yes
Indonesia,Bekasi,Kinderfield and Highfield School Bekasi,http://www.kinderfield.sch.id,"Bekasi, Indonesia",No
Indonesia,Bekasi,QUBA Islamic School,http://www.quba.sch.id,"Bekasi, Indonesia",Yes
Indonesia,Bekasi,Sekolah Paradisa Cendekia,http://www.spc.sch.id,"Bekasi, Indonesia",Yes
Indonesia,Bekasi,Sekolah Pelita Harapan Lippo Cikarang,http://www.sph.ac.id,"Bekasi, Indonesia",No
Indonesia,Bekasi,Unity School,http://www.unity.sch.id,"Bekasi, Indonesia",No
Indonesia,Bogor,Al-Taqwa College,https://altaqwacollegeindonesia.com/,"Bogor, Indonesia",Yes
Indonesia,Bogor,Bosowa Bina Insani School,http://bogor.bosowaschool.sch.id,"Bogor, Indonesia",Yes
Indonesia,Bogor,Fitrah Islamic World Academy (FIWA),http://fiwaschool.com,"Bogor, Indonesia",Yes
Indonesia,Bogor,Knowledge Link Intercultural School,http://www.klis.sch.id,"Bogor, Indonesia",Yes
Indonesia,Bogor,Madania School,http://madania.sch.id,"Bogor, Indonesia",Yes
Indonesia,Bogor,Sampoerna Academy Sentul Campus,http://www.sampoernaacademy.sch.id,"Bogor, Indonesia",Yes
Indonesia,Bogor,Sekolah Bogor Raya,http://www.sekolahbogorraya.com/,"Bogor, Indonesia",No
Indonesia,Bogor,Sekolah Cahaya Rancamaya,https://scr.sch.id/,"Bogor, Indonesia",Yes
Indonesia,Cirebon,Kinderfield Highfield School Cirebon,http://www.kinderfield.sch.id,"Cirebon, Indonesia",No
Indonesia,Cirebon,Sekolah Pelita Bangsa,http://www.pelitabangsa.com,"Cirebon, Indonesia",Yes
Indonesia,Depok,Kinderfield Highfield School Depok,https://kinderfieldhighfield.sch.id/,"Depok, Indonesia",No
Indonesia,Depok,Pribadi Depok School,https://pribadidepok.sch.id/,"Depok, Indonesia",No
Indonesia,Depok,"Springfield School, RH Campus",http://www.springfield.sch.id/,"Depok, Indonesia",No
